Origin,Destination,Price
Castelnaudary,Toulouse-Matabiau,13.7
Bourg-en-Bresse,Lons-le-Saunier,13.5
Dax,Biarritz,14.2
Arles,Orange,14.3
Marseille-Blancarde,Toulon,14.8
Perpignan,Narbonne,14.8
Groisy-Thorens-la-Caille,Sallanches-Combloux-Megève,15.5
Quimperlé,Vannes,16.0
Toulon,Les Arcs-Draguignan,16.0
Landry,Albertville,16.5
Dax,St-Jean-de-Luz-Ciboure,16.5
Narbonne,Sète,16.5
Nancy-Ville,Épinal,17.0
Avignon-TGV,Montélimar,17.5
Nantes,Redon,17.5
Rosporden,Auray,17.5
Villeneuve-lès-Avignon,Sète,18.0
Facture-Biganos,Libourne,17.5
Nîmes,Orange,17.5
Dole-Ville,Frasne,17.5
Nîmes,Sète,17.5
Arles,Marseille-Blancarde,18.0
Mantes-la-Jolie,Rouen-Rive-Droite,18.5
Nancy-Ville,Sarrebourg,18.5
Pau,Morcenx,19.0
St-Jean-de-Maurienne-Arvan,Aix-les-Bains-Le Revard,19.0
Dax,Pau,19.0
Marseille-St-Charles,Hyères,19.0
Nancy-Ville,St-Dié,19.0
Lyon-Part-Dieu,Bourg-en-Bresse,17.5
Tours,Vendôme-Villiers-sur-Loir,19.0
Tourcoing,Arras,19.0
Mulhouse-Ville,Saverne,19.5
Nice-Ville,Les Arcs-Draguignan,19.5
Angers-St-Laud,Nantes,19.5
Béziers,Perpignan,19.5
Brest,Plouaret,20.0
Arras,St-Omer,20.5
Lépin-le-Lac-La Bauche,Albertville,20.5
St-Péray,Orange,20.5
Valence,Orange,20.5
Rosporden,Vannes,21.0
Metz-Ville,Bar-le-Duc,21.0
Caen,Bernay,20.5
Aix-en-Provence-TGV,Hyères,21.5
Quimper,Auray,21.5
Bellegarde,St-Gervais-les-Bains-Le Fayet,21.5
Les Sables-d'Olonne,Nantes,22.0
Angers-St-Laud,St-Pierre-des-Corps,22.5
Besançon-Viotte,Belfort,23.0
Ancenis,La Roche-sur-Yon,23.0
Laroche-Migennes,Melun,23.0
Montbard,Beaune,22.5
Lépin-le-Lac-La Bauche,St-Gervais-les-Bains-Le Fayet,24.0
Lépin-le-Lac-La Bauche,Sallanches-Combloux-Megève,24.0
Agen,Toulouse-Matabiau,24.0
Lyon-Perrache-Voyageurs,Annecy,24.5
Dijon-Ville,Frasne,24.5
Cannes,Toulon,24.5
Marmande,Montauban-Ville-Bourbon,24.5
Carcassonne,Sète,25.0
Avignon-TGV,Valence,25.0
St-Péray,Villeneuve-lès-Avignon,25.0
Moûtiers-Salins-Brides-les-Bains,Bourg-en-Bresse,25.5
Montpellier (CNM),Orange,25.5
Lille-Flandres,Calais-Ville,26.0
Douai,St-Jean-de-Luz-Ciboure,144.0
Arras,St-Jean-de-Luz-Ciboure,144.0
Irun,Arras,144.0
Agen,Douai,144.0
Marseille-St-Charles,Douai,144.0
Lille-Flandres,Aix-en-Provence-TGV,144.0
Nîmes,Arras,144.0
Montpellier (CNM),Douai,144.0
Nîmes,Douai,144.0
St-Jean-de-Maurienne-Arvan,Morlaix,147.0
Morlaix,Aime-La Plagne,147.0
Brest,Sallanches-Combloux-Megève,147.0
Morlaix,St-Michel-Valloire,147.0
Brest,St-Avre-la-Chambre,147.0
Chambéry-Challes-les-Eaux,Quimper,147.0
La Roche-sur-Foron,Morlaix,147.0
Morlaix,Annemasse,147.0
Lille-Europe,Perpignan,150.0
Lille-Europe,Sète,150.0
Lille-Flandres,Perpignan,150.0
Perpignan,Arras,150.0
Douai,Narbonne,150.0
Castelnaudary,Lille-Europe,150.0
Lille-Europe,St-Raphaël-Valescure,155.0
Lille-Europe,Les Arcs-Draguignan,155.0
TGV Haute-Picardie,Antibes,155.0
Lille-Flandres,La Souterraine,114.0
Avignon-TGV,Montpellier (CNM),25.5
Avignon-TGV,Béziers,43.0
Pornichet,Lyon-St-Exupéry-TGV,113.0
Paris-Montparnasse,St-Pierre-des-Corps,65.0
Avignon-TGV,Lyon-Part-Dieu,51.0
Massy-TGV,St-Pierre-des-Corps,65.0
Paris-Gare-de-Lyon,Hyères,121.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),TGV Haute-Picardie,45.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),Douai,52.0
Avignon-TGV,Lyon-St-Exupéry-TGV,51.0
Les Aubrais-Orléans,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),48.0
Brive-la-Gaillarde,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),101.0
La Souterraine,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),80.0
Étaples-Le Touquet,Paris-Nord,66.0
Chambéry-Challes-les-Eaux,Marne-la-Vallée-Chessy,103.0
Avignon-TGV,Lyon-St-Exupéry-TGV,51.0
Avignon-TGV,Lyon-Perrache-Voyageurs,51.0
Lille-Europe,Besançon-Franche-Comté-TGV,120.0
Mulhouse-Ville,Belfort-Montbéliard-TGV,16.5
Besançon-Viotte,Colmar,46.0
Strasbourg-Ville,Lons-le-Saunier,70.0
Mulhouse-Ville,Valence-TGV,93.0
Carcassonne,Mâcon-Ville,84.0
Mâcon-Ville,Sète,81.0
Montpellier (CNM),Chalon-sur-Saône,81.0
Aix-en-Provence-TGV,Mâcon-Ville,81.0
Marseille-St-Charles,Chalon-sur-Saône,87.0
Dijon-Ville,St-Raphaël-Valescure,124.0
Cannes,Chalon-sur-Saône,116.0
Mâcon-Ville,St-Raphaël-Valescure,107.0
Avignon-TGV,Culmont-Chalindrey,87.0
Nîmes,Belfort-Montbéliard-TGV,119.0
Montpellier (CNM),Besançon-Franche-Comté-TGV,111.0
Marseille-St-Charles,Besançon-Franche-Comté-TGV,111.0
Avignon-TGV,Belfort-Montbéliard-TGV,108.0
Lyon-Part-Dieu,Belfort-Montbéliard-TGV,67.0
Lyon-Part-Dieu,Besançon-Franche-Comté-TGV,51.0
Nancy-Ville,Toulon,123.0
Toul,St-Raphaël-Valescure,135.0
Nancy-Ville,Valence-TGV,100.0
Besançon-Viotte,Chalon-sur-Saône,30.0
Mouchard,Marne-la-Vallée-Chessy,82.0
Colmar,Lyon-Perrache-Voyageurs,85.0
Colmar,Lyon-St-Exupéry-TGV,85.0
Lille-Flandres,Belfort-Montbéliard-TGV,129.0
Aix-en-Provence-TGV,Neufchâteau,98.0
Massy-TGV,Arras,50.0
Ancenis,Paris-Montparnasse,77.0
La Rochelle-Ville,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),89.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),Niort,84.0
Marne-la-Vallée-Chessy,Niort,84.0
St-Maixent (Deux-Sèvres),Marne-la-Vallée-Chessy,84.0
St-Maixent (Deux-Sèvres),Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),84.0
Massy-TGV,Vendôme-Villiers-sur-Loir,55.0
Laval,Massy-Palaiseau-Grande-Ceinture,72.0
Massy-Palaiseau-Grande-Ceinture,Rennes,80.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),Marmande,108.0
Irun,Marne-la-Vallée-Chessy,112.0
Dax,Marne-la-Vallée-Chessy,110.0
Dax,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),110.0
Dax,Paris-Austerlitz,110.0
Paris-Austerlitz,Montauban-Ville-Bourbon,109.0
Mantes-la-Jolie,Valence-TGV,107.0
Paris-Gare-de-Lyon,Agde,116.0
Paris-Gare-de-Lyon,Sète,116.0
Carcassonne,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),116.0
Paris-Nord,Narbonne,116.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),Perpignan,124.0
