Name,Commune,Longitude,Latitude
Brest,Brest,-4.479243011743669,48.38792979524121
Kerhuon,Le Relecq-Kerhuon,-4.3882326318055895,48.409605201316694
La Forest,La Forest-Landerneau,-4.3071911864121,48.42635046201861
Landerneau,Landerneau,-4.256576427625531,48.45374715117324
La Roche,La Roche-Maurice,-4.2052246276462135,48.47408756928626
Quimper,Quimper,-4.092523298697385,47.9948683714121
Landivisiau,Landivisiau,-4.0829271858424185,48.49577732549493
Guimiliau,Guimiliau,-3.9989450773651343,48.485226749815205
St-Pol-de-Léon,St-Pol-de-Léon,-3.987357201391775,48.676823361391584
Roscoff,Roscoff,-3.9828358132084496,48.72064886373147
Plouénan,Plouénan,-3.970007778373813,48.64060862226864
St-Thégonnec,St-Thégonnec,-3.9478073806075455,48.494507074243906
Henvic,Henvic,-3.926429040876095,48.6236337817172
Pleyber-Christ,Pleyber-Christ,-3.883086229756259,48.50747856463624
Morlaix,Morlaix,-3.832477837161316,48.57798173117454
Bannalec,Bannalec,-3.7066680289723504,47.926788117965785
Carhaix,Carhaix-Plouguer,-3.5639169292028963,48.27645974077854
Quimperlé,Quimperlé,-3.552988951161868,47.86930999444454
Carnoët-Locarn,Locarn,-3.4905193806659134,48.34039896276361
Le Pénity,Duault,-3.4763547933678547,48.36454055640289
Lannion,Lannion,-3.460362272489274,48.72722615858606
Gestel,Gestel,-3.44324095590144,47.803068578129064
Callac,Callac,-3.418548488597128,48.40682753963829
Les Mais,Callac,-3.3828192436632682,48.426240661884535
Lorient,Lorient,-3.3745896768406194,47.75399826935425
Coat-Guégan,Pont-Melvez,-3.2736870776921965,48.48042532938834
Moustéru,Bourbriac,-3.242782593047977,48.50779865852206
Brélidy-Plouëc,Plouëc-du-Trieux,-3.196262281923392,48.66919617633935
Brandérion,Brandérion,-3.1949294911011363,47.78234896492175
Trégonneau-Squiffiec,Squiffiec,-3.1741151582598786,48.624576045306256
Gourland,Grâces,-3.166769486434044,48.561110506298114
Pontrieux-Halte,Pontrieux,-3.1642225077258006,48.698063467596064
Guingamp,Guingamp,-3.157093668214272,48.552990438861436
Pontrieux,Pontrieux,-3.1570661289395945,48.70557084895626
Traou-Nez,Plourivo,-3.1351552581003928,48.748555046136225
Frynaudour,Plourivo,-3.128588597562102,48.72796201898242
Landévant,Landévant,-3.1256384908243944,47.759518109055605
Lancerf,Plourivo,-3.1181373405541466,48.76182498430737
Landaul-Mendon,Landaul,-3.085773818880881,47.73540701544521
Paimpol,Paimpol,-3.0460204685255223,48.77663514565281
Auray,Auray,-3.0105509828722434,47.68179160860162
Châtelaudren-Plouagat,Plouagat,-2.9741649344387184,48.533233396218996
Ste-Anne,Pluneret,-2.9605809733035744,47.67850522991184
St-Brieuc,St-Brieuc,-2.7737989776724743,48.50824301357313
Vannes,Vannes,-2.7524038812162512,47.66520979265519
Yffiniac,Yffiniac,-2.6522125948567945,48.47019943491513
Lamballe,Lamballe,-2.5114605660362828,48.46594346923322
Le Croisic,Le Croisic,-2.506895318720328,47.289762242015115
Batz-sur-Mer,Batz-sur-Mer,-2.4790683443610244,47.28094955600504
Questembert,Questembert,-2.449620953911625,47.683185303972046
Plestan,Plestan,-2.4420676366208736,48.42553840006436
Le Pouliguen,Le Pouliguen,-2.433227448786401,47.28262437643912
La Baule-Escoublac,La Baule-Escoublac,-2.3892599777754397,47.28869813033697
La Baule-les-Pins,La Baule-Escoublac,-2.3648225128958376,47.28370632606418
Plénée-Jugon,Plénée-Jugon,-2.354648763203393,48.37664297834419
Pornichet,Pornichet,-2.3447048449348613,47.27066127767772
Landébia,Landébia,-2.3313009843699817,48.50718444179737
Malansac,Malansac,-2.2953410975949944,47.67554186869082
Broons,Broons,-2.23584863546406,48.33337010660815
Plancoët,Plancoët,-2.2288084440080365,48.52143574734171
St-Nazaire,St-Nazaire,-2.2113248000047743,47.28676363953024
Penhoët,St-Nazaire,-2.2007855058852326,47.29047012989129
La Croix-de-Méan,St-Nazaire,-2.1930931497631807,47.30061347537988
Montoir-de-Bretagne,Montoir-de-Bretagne,-2.1616012671563407,47.32074062561389
Caulnes,Caulnes,-2.1554786779518045,48.2843914107651
Quédillac,Quédillac,-2.145221664824248,48.248597523539416
Corseul-Languenan,Languenan,-2.141517033211617,48.495955781575574
La Brohinière,Montauban-de-Bretagne,-2.1104779302744925,48.21346883098549
Redon,Redon,-2.088521843296661,47.65178482242304
Pontchâteau,Pontchâteau,-2.088383489771248,47.4363076121587
Sévérac,Sévérac,-2.0727871448485984,47.54983414389597
Donges,Donges,-2.071624327315269,47.30873250139083
Dinan,Dinan,-2.0533876645378752,48.45702207710471
Montauban-de-Bretagne,Montauban-de-Bretagne,-2.052807491308817,48.19003805004627
Drefféac,Drefféac,-2.049996132974796,47.482266599289616
St-Gildas-des-Bois,St-Gildas-des-Bois,-2.044122473099628,47.51643540736758
St-Malo,St-Malo,-2.004051313466777,48.6465302973296
La Hisse,St-Samson-sur-Rance,-2.003131989956737,48.49607050689392
Les Moutiers-en-Retz,Les Moutiers-en-Retz,-2.001416008442376,47.0619227003358
Pleudihen,Pleudihen-sur-Rance,-1.9616888510974264,48.499406343345896
Savenay,Savenay,-1.9557478901374268,47.360102663994745
Bourgneuf-en-Retz,Bourgneuf-en-Retz,-1.955093984580618,47.04698051501943
Montfort-sur-Meu,Montfort-sur-Meu,-1.9488124146633248,48.13908925033736
St-Gilles-Croix-de-Vie,St-Gilles-Croix-de-Vie,-1.9416096081871947,46.69649178580117
